breed,Images,url,Adaptability,ToleranceAlone,Friendliness,Health,Intelligence,ExerciseNeeds,TemperatureTolerance,ApartmentSuitability,Size,breed_group,AgeAverage
Afador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Screenshot-2023-07-01-at-10.23.34-PM-e1688264735488.png?w=1024,https://dogtime.com/dog-breeds/afador,2,3,3,3,5,4,3,1,4,Mixed Breed Dogs,11
Affenhuahua,https://dogtime.com/wp-content/uploads/sites/12/2020/02/affenhuahua-mixed-dog-breed-pictures-COVER.jpg,https://dogtime.com/dog-breeds/affenhuahua,3,1,3,4,3,3,2.5,2,1,Mixed Breed Dogs,15.5
Affenpinscher,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1476309790-e1692208097483.jpg?w=1024,https://dogtime.com/dog-breeds/affenpinscher,3,1,3,4,4,4,3,3,1,Companion Dogs,13
Afghan Hound,https://dogtime.com/dog-breeds/afghan-hound,https://dogtime.com/dog-breeds/afghan-hound,4,2,4,3,4,4,5,3,4,Hound Dogs,11
Airedale Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-984151818-e1692537275682.jpg?w=1024,https://dogtime.com/dog-breeds/airedale-terrier,2,2,4,3,5,5,3,1,3,Terrier Dogs,11.5
Akbash,https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-875253932-e1691932168310.jpg?w=1024,https://dogtime.com/dog-breeds/akbash,3,4,4,4,4,2,3,1,4,Working Dogs,11
Akita,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1262676579-1-e1706034743817.jpg,https://dogtime.com/dog-breeds/akita,3,1,2,4,3,4,3.5,1,4,Working Dogs,11
Alaskan Klee Kai,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1480829226-e1694013721239.jpg?w=1024,https://dogtime.com/dog-breeds/alaskan-klee-kai,3,2,3,4,4,4,3.5,1,2,Companion Dogs,14
Alaskan Malamute,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1435474615-1-e1691930474231.jpg?w=1024,https://dogtime.com/dog-breeds/alaskan-malamute,2,1,4,4,4,5,3.5,1,4,Working Dogs,13.5
American Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1006968824-e1694633377768.jpg,https://dogtime.com/dog-breeds/american-bulldog,2,1,3,3,3,4,2,1,4,Working Dogs,13
American English Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1384868992-e1706539573466.jpg?w=1024,https://dogtime.com/dog-breeds/american-english-coonhound,3,2,5,4,4,5,4,1,3,Hound Dogs,11
American Eskimo Dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23134_american-eskimo-dog.jpg,https://dogtime.com/dog-breeds/american-eskimo-dog,4,2,5,5,4,4,4,2,2,Companion Dogs,13.5
American Foxhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1311847396-e1691373083166.jpg?w=1024,https://dogtime.com/dog-breeds/american-foxhound,2,1,5,5,3,5,4,1,3,Hound Dogs,12.5
American Leopard Hound,https://dogtime.com/wp-content/uploads/sites/12/2019/09/american-leopard-hound-dog-breed-picture-cover.jpg,https://dogtime.com/dog-breeds/american-leopard-hound,3,3,4,4,4,4,4,1,4,Hound Dogs,13.5
American Pit Bull Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-153000205-e1691974077142.jpg?w=1024,https://dogtime.com/dog-breeds/american-pit-bull-terrier,3,1,4,4,4,5,2.5,1,3,Terrier Dogs,14
American Pugabull,https://dogtime.com/wp-content/uploads/sites/12/2019/08/american-pugabull-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/american-pugabull,3,1,4,2,3,4,2.5,1,3,Mixed Breed Dogs,13
American Staffordshire Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1300301448-e1695306343981.jpg?w=1024,https://dogtime.com/dog-breeds/american-staffordshire-terrier,2,2,4,3,4,4,2.5,1,3,Terrier Dogs,12.5
American Water Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_22954_american-water-spaniel.jpg,https://dogtime.com/dog-breeds/american-water-spaniel,3,1,4,3,3,4,3,1,3,Sporting Dogs,13.5
