breed,url,Images,Adaptability,ApartmentSuitability,InexperiencedOwner,ToleranceAlone,Friendliness,Shedding,Health,Size,TrainAbility,Noisy,ExerciseNeeds,breed_group,AgeAverage
Afador,https://dogtime.com/dog-breeds/afador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Screenshot-2023-07-01-at-10.23.34-PM-e1688264735488.png?w=1024,2,1,1,3,3,4,3,4,4,4,4,Mixed Breed Dogs,3
Affenhuahua,https://dogtime.com/dog-breeds/affenhuahua,https://dogtime.com/wp-content/uploads/sites/12/2020/02/affenhuahua-mixed-dog-breed-pictures-COVER.jpg,3,4,4,1,3,2,4,1,3,4,3,Mixed Breed Dogs,5
Affenpinscher,https://dogtime.com/dog-breeds/affenpinscher,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1476309790-e1692208097483.jpg?w=1024,3,5,4,1,3,1,4,1,3,2,4,Companion Dogs,4
Afghan Hound,https://dogtime.com/dog-breeds/afghan-hound,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1303725904-e1696860728615.jpg?w=1024,4,5,3,2,4,4,3,4,3,2,4,Hound Dogs,3
Airedale Terrier,https://dogtime.com/dog-breeds/airedale-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-984151818-e1692537275682.jpg?w=1024,2,1,2,2,4,2,3,3,5,4,5,Terrier Dogs,3
Akbash,https://dogtime.com/dog-breeds/akbash,https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-875253932-e1691932168310.jpg?w=1024,3,1,2,4,4,4,4,4,3,3,2,Working Dogs,3
Akita,https://dogtime.com/dog-breeds/akita,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1262676579-1-e1706034743817.jpg,3,2,2,1,2,5,4,4,4,5,4,Working Dogs,3
Alaskan Klee Kai,https://dogtime.com/dog-breeds/alaskan-klee-kai,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1480829226-e1694013721239.jpg?w=1024,3,3,2,2,3,4,4,2,4,3,4,Companion Dogs,4
Alaskan Malamute,https://dogtime.com/dog-breeds/alaskan-malamute,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1435474615-1-e1691930474231.jpg?w=1024,2,1,1,1,4,5,4,4,4,5,5,Working Dogs,4
American Bulldog,https://dogtime.com/dog-breeds/american-bulldog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1006968824-e1694633377768.jpg,2,1,1,1,3,1,3,4,3,2,4,Working Dogs,4
American English Coonhound,https://dogtime.com/dog-breeds/american-english-coonhound,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1384868992-e1706539573466.jpg?w=1024,3,1,2,2,5,3,4,3,5,5,5,Hound Dogs,3
American Eskimo Dog,https://dogtime.com/dog-breeds/american-eskimo-dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23134_american-eskimo-dog.jpg,4,5,4,2,5,5,5,2,4,4,4,Companion Dogs,4
American Foxhound,https://dogtime.com/dog-breeds/american-foxhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1311847396-e1691373083166.jpg?w=1024,2,1,2,1,5,3,5,3,4,5,5,Hound Dogs,4
American Leopard Hound,https://dogtime.com/dog-breeds/american-leopard-hound,https://dogtime.com/wp-content/uploads/sites/12/2019/09/american-leopard-hound-dog-breed-picture-cover.jpg,3,2,4,3,4,2,4,4,4,4,4,Hound Dogs,4
American Pit Bull Terrier,https://dogtime.com/dog-breeds/american-pit-bull-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-153000205-e1691974077142.jpg?w=1024,3,3,2,1,4,4,4,3,4,3,5,Terrier Dogs,4
American Pugabull,https://dogtime.com/dog-breeds/american-pugabull,https://dogtime.com/wp-content/uploads/sites/12/2019/08/american-pugabull-mixed-dog-breed-pictures-cover.jpg,3,3,3,1,4,3,2,3,3,4,4,Mixed Breed Dogs,4
American Staffordshire Terrier,https://dogtime.com/dog-breeds/american-staffordshire-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1300301448-e1695306343981.jpg?w=1024,2,2,2,2,4,2,3,3,4,4,4,Terrier Dogs,4
American Water Spaniel,https://dogtime.com/dog-breeds/american-water-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_22954_american-water-spaniel.jpg,3,2,2,1,4,3,3,3,4,3,4,Sporting Dogs,4
Anatolian Shepherd Dog,https://dogtime.com/dog-breeds/anatolian-shepherd-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1477482048-e1694029026354.jpg?w=1024,3,1,2,3,2,2,3,5,3,2,3,Working Dogs,4
Appenzeller Sennenhunde,https://dogtime.com/dog-breeds/appenzeller-sennenhunde,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1478460895-1-e1695405829147.jpg?w=1024,3,1,3,1,4,3,4,3,4,5,4,Herding Dogs,3
Auggie,https://dogtime.com/dog-breeds/auggie,https://dogtime.com/wp-content/uploads/sites/12/2019/09/auggie-mixed-dog-breed-pictures-cover.jpg,3,2,3,3,5,4,3,3,4,4,5,Mixed Breed Dogs,4
Aussiedoodle,https://dogtime.com/dog-breeds/aussiedoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-941172138-e1691704977623.jpg?w=1024,3,2,3,2,4,3,4,3,4,2,5,Mixed Breed Dogs,3
Aussiepom,https://dogtime.com/dog-breeds/aussiepom,https://dogtime.com/wp-content/uploads/sites/12/2019/07/aussiepom-mixed-dog-breed-pictures-cover.jpg,3,3,2,2,4,3,4,3,3,3,4,Mixed Breed Dogs,4
Australian Cattle Dog,https://dogtime.com/dog-breeds/australian-cattle-dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1309830116-e1692992685110.jpg?w=1024,3,2,1,3,4,3,5,3,4,2,5,Herding Dogs,4
Australian Kelpie,https://dogtime.com/dog-breeds/australian-kelpie,https://dogtime.com/wp-content/uploads/sites/12/2018/04/GettyImages-1356399383-e1688346168527.jpg?w=1024,3,2,2,2,3,3,3,3,5,4,4,Herding Dogs,4
Australian Retriever,https://dogtime.com/dog-breeds/australian-retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/10/australian-retriever-mixed-dog-breed-pictures-cover.jpg,3,1,4,2,4,3,4,4,3,2,4,Mixed Breed Dogs,4
Australian Shepherd,https://dogtime.com/dog-breeds/australian-shepherd,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1310156914-e1691160249641.jpg?w=1024,3,1,2,2,4,3,2,3,5,4,5,Herding Dogs,4
Australian Shepherd Husky,https://dogtime.com/dog-breeds/australian-shepherd-husky,https://dogtime.com/wp-content/uploads/sites/12/2019/12/australian-shepherd-husky-mixed-dog-breed-pictures-cover.jpg,3,1,2,1,3,4,3,4,4,5,5,Mixed Breed Dogs,4
Australian Shepherd Lab Mix,https://dogtime.com/dog-breeds/australian-shepherd-lab-mix,https://dogtime.com/wp-content/uploads/sites/12/2019/12/australian-shepherd-lab-mixed-dog-breed-pictures-cover.jpg,4,2,2,4,4,4,4,4,4,3,5,Mixed Breed Dogs,4
Australian Shepherd Pit Bull Mix,https://dogtime.com/dog-breeds/australian-shepherd-pit-bull-mix,https://dogtime.com/wp-content/uploads/sites/12/2020/01/australian-shepherd-pit-bull-mixed-dog-breed-pictures-cover.jpg,3,2,3,2,4,4,4,4,3,2,4,Mixed Breed Dogs,4
Australian Terrier,https://dogtime.com/dog-breeds/australian-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1226717580-e1696002487688.jpg?w=1024,3,5,3,2,3,1,5,1,4,5,5,Terrier Dogs,3
Azawakh,https://dogtime.com/dog-breeds/azawakh,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-984961036-e1691178428955.jpg?w=1024,3,5,2,3,3,3,3,3,3,1,3,Hound Dogs,4
Barbet,https://dogtime.com/dog-breeds/barbet,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1182528738-e1695731334393.jpg?w=1024,3,3,2,1,4,2,4,3,3,3,4,Sporting Dogs,4
Basenji,https://dogtime.com/dog-breeds/basenji,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-996168400-e1691670212589.jpg?w=1024,4,5,4,4,5,1,2,2,4,1,3,Hound Dogs,3
Bassador,https://dogtime.com/dog-breeds/bassador,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bassador-mixed-breed-dog-pictures-cover.jpg,3,2,2,3,3,5,3,4,3,3,3,Mixed Breed Dogs,3
Basset Fauve de Bretagne,https://dogtime.com/dog-breeds/basset-fauve-de-bretagne,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-136994252-e1709255514492.jpg,3,4,4,3,4,2,5,2,3,2,3,Hound Dogs,4
Basset Hound,https://dogtime.com/dog-breeds/basset-hound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-623381516-e1691154788279.jpg,3,5,4,3,5,4,1,2,4,4,2,Hound Dogs,3
Basset Retriever,https://dogtime.com/dog-breeds/basset-retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/11/basset-retriever-mixed-dog-breed-pictures-cover.jpg,3,3,3,2,4,2,4,3,4,2,4,Mixed Breed Dogs,3
Bavarian Mountain Scent Hound,https://dogtime.com/dog-breeds/bavarian-mountain-scent-hound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-615331764-e1691095708411.jpg?w=1024,2,2,3,2,4,1,4,3,3,2,4,Hound Dogs,4
Beabull,https://dogtime.com/dog-breeds/beabull,https://dogtime.com/wp-content/uploads/sites/12/2019/12/beabull-mixed-dog-breed-pictures-cover.jpg,3,4,3,4,4,4,3,3,4,4,4,Mixed Breed Dogs,3
Beagle,https://dogtime.com/dog-breeds/beagle,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-157603001-e1701106766955.jpg?w=1024,3,4,3,1,5,3,1,2,4,5,5,Hound Dogs,4
Beaglier,https://dogtime.com/dog-breeds/beaglier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-09-at-10.56.38-AM.png,3,5,4,1,5,3,2,2,3,4,4,Mixed Breed Dogs,4
